Fieldnumber,Plot,fam,spsab,rootdiamscore,actdiest,pH,Clay,Silt,C,Ntotal,ResinP
1,1,Cyperaceae,caph,1,8.357,4.82,55.992,32.175,7.45,3620.1,2
1,1,Cyperaceae,caso,1,6.383,4.82,55.992,32.175,7.45,3620.1,2
1,1,Convolvulaceae,dise,1,33.380,4.82,55.992,32.175,7.45,3620.1,2
1,1,Oxalidaceae,oxer,1,5.809,4.82,55.992,32.175,7.45,3620.1,2
1,1,Poaceae,pist,1,8.205,4.82,55.992,32.175,7.45,3620.1,2
1,1,Asteraceae,sose,1,15.883,4.82,55.992,32.175,7.45,3620.1,2
1,2,Cyperaceae,caph,1,9.279,4.66,52.027,36.940,6.63,3591.3,2
1,2,Convolvulaceae,dise,1,13.303,4.66,52.027,36.940,6.63,3591.3,2
1,2,Cyperaceae,kyva,1,23.686,4.66,52.027,36.940,6.63,3591.3,2
1,2,Oxalidaceae,oxer,1,7.447,4.66,52.027,36.940,6.63,3591.3,2
1,2,Poaceae,pist,1,10.105,4.66,52.027,36.940,6.63,3591.3,2
1,3,Cyperaceae,caph,1,8.681,4.72,55.107,32.387,8.79,3743.5,4
1,3,Cyperaceae,cyp5,1,17.416,4.72,55.107,32.387,8.79,3743.5,4
1,3,Convolvulaceae,dise,1,15.747,4.72,55.107,32.387,8.79,3743.5,4
1,3,Oxalidaceae,oxer,1,7.008,4.72,55.107,32.387,8.79,3743.5,4
1,3,Poaceae,pist,1,11.355,4.72,55.107,32.387,8.79,3743.5,4
1,3,Asteraceae,sose,1,18.468,4.72,55.107,32.387,8.79,3743.5,4
1,4,Cyperaceae,caph,1,9.839,5.17,32.346,26.259,4.84,2230.6,0.5
1,4,Convolvulaceae,dise,1,12.843,5.17,32.346,26.259,4.84,2230.6,0.5
1,4,Oxalidaceae,oxer,1,7.649,5.17,32.346,26.259,4.84,2230.6,0.5
1,4,Poaceae,pist,1,9.888,5.17,32.346,26.259,4.84,2230.6,0.5
