distrito,metodo,desc.viva,vive,educ,religion,prop.muj.alf,prop.muj.mus.rezan
1,4,3,urbana,ninguna,musul,0.09,0.64
1,1,0,urbana,sec.incomp,hindu,0.09,0.64
1,4,0,urbana,ninguna,hindu,0.09,0.64
1,4,2,urbana,primaria,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,2,0,urbana,sec.incomp,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,sec.comp+,musul,0.09,0.64
1,3,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,3,0,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,2,3,urbana,ninguna,musul,0.09,0.64
1,2,0,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,2,1,urbana,sec.comp+,musul,0.09,0.64
1,2,3,urbana,primaria,musul,0.09,0.64
1,2,1,urbana,sec.comp+,musul,0.09,0.64
1,4,2,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,sec.incomp,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,4,0,urbana,ninguna,musul,0.09,0.64
1,4,1,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,primaria,musul,0.09,0.64
1,4,3,urbana,sec.incomp,musul,0.09,0.64
1,3,2,urbana,sec.comp+,musul,0.09,0.64
1,2,1,urbana,sec.comp+,musul,0.09,0.64
1,4,0,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,sec.comp+,musul,0.09,0.64
1,2,0,urbana,sec.comp+,musul,0.09,0.64
1,4,3,urbana,ninguna,musul,0.09,0.64
1,2,1,urbana,ninguna,musul,0.09,0.64
1,4,2,urbana,sec.comp+,musul,0.09,0.64
1,3,1,urbana,sec.incomp,musul,0.09,0.64
